,precinct_station,incident_neighborhood,total_dispatches
3,W,QUEEN ANNE,4482
1,W,DOWNTOWN COMMERCIAL,4089
4,W,SLU/CASCADE,3322
5,W,CHINATOWN/INTERNATIONAL DISTRICT,1980
7,W,BELLTOWN,1607
0,W,MAGNOLIA,1581
8,W,PIONEER SQUARE,1014
9,W,EASTLAKE - WEST,577
2,W,FIRST HILL,1
6,W,SANDPOINT,1
13,N,NORTHGATE,4015
10,N,ROOSEVELT/RAVENNA,3194
11,N,BALLARD SOUTH,3153
14,N,UNIVERSITY,3143
16,N,SANDPOINT,2269
21,N,LAKECITY,2055
19,N,GREENWOOD,1881
20,N,BALLARD NORTH,1709
15,N,FREMONT,1579
18,N,WALLINGFORD,1556
17,N,BITTERLAKE,1525
12,N,PHINNEY RIDGE,830
23,SW,ALASKA JUNCTION,1251
22,SW,ROXHILL/WESTWOOD/ARBOR HEIGHTS,1066
30,SW,MORGAN,828
24,SW,NORTH ADMIRAL,822
26,SW,HIGHLAND PARK,822
25,SW,HIGH POINT,666
27,SW,NORTH DELRIDGE,560
31,SW,SOUTH PARK,517
32,SW,ALKI,410
33,SW,FAUNTLEROY SW,381
28,SW,SOUTH DELRIDGE,255
29,SW,PIGEON POINT,86
35,SW,COMMERCIAL DUWAMISH,41
34,SW,COMMERCIAL HARBOR ISLAND,33
37,E,CAPITOL HILL,4487
38,E,FIRST HILL,2524
39,E,CENTRAL AREA/SQUIRE PARK,1966
41,E,MADRONA/LESCHI,929
40,E,JUDKINS PARK/NORTH BEACON HILL,824
44,E,MILLER PARK,643
43,E,MONTLAKE/PORTAGE BAY,609
42,E,MADISON PARK,331
45,E,EASTLAKE - EAST,102
36,E,BALLARD SOUTH,1
47,S,NORTH BEACON HILL,1337
48,S,GEORGETOWN,1189
52,S,MOUNT BAKER,1179
49,S,SODO,1048
58,S,BRIGHTON/DUNLAP,995
50,S,MID BEACON HILL,685
54,S,RAINIER VIEW,578
59,S,RAINIER BEACH,526
53,S,CLAREMONT/RAINIER VISTA,482
46,S,COLUMBIA CITY,476
55,S,LAKEWOOD/SEWARD PARK,375
57,S,NEW HOLLY,358
51,S,HILLMAN CITY,335
56,S,SOUTH BEACON HILL,307
60,S,GENESEE,233
